patid,date,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8
1,2024-01-01,7.0706665570630935,-6.551453639595573,6.794485817597566,1.0352586308447447,8.48047384957306,5.663175822038125,4.018921751984422,-5.807842720566263
1,2024-01-02,6.425468916422261,-6.272634610600569,6.274677270959262,1.5593832641408154,8.903489508168025,5.244437477109476,5.067771891557,-6.105266693010355
1,2024-01-03,6.4998311658481995,-6.45474305418692,6.225881273476422,1.7684357663654724,7.778854464456942,4.78641910581087,3.5584457132809844,-4.955886132133656
1,2024-01-04,6.877870116203723,-7.308877468767248,6.742483188391533,2.7837514811454622,7.759069704544104,5.154798556206898,3.377909887491415,-4.922571797818435
1,2024-01-05,6.779272511213808,-7.388634462343165,7.349438143482737,3.346854297212453,8.397426968214429,5.086181852677204,2.7862033342980346,-3.7845742408562755
1,2024-01-06,5.864377293749921,-6.16883384603568,6.582290881721064,3.2003951690108456,8.975845987799069,6.585425227331102,4.741085504522898,-5.151248036819674
1,2024-01-07,6.610960186900894,-7.384774126124053,7.148217367272118,3.1036378847586614,8.318900394455337,5.335000049317599,3.64189154090138,-3.7267401346708082
1,2024-01-08,5.87824389625404,-5.0379294687753395,5.338110415325901,1.3385964339346894,8.985984426607256,5.917898447918909,5.980611960807294,-6.729903533551717
1,2024-01-09,7.037859118944128,-6.939003428608207,7.169307757526176,2.3108018919904603,7.967713347125619,4.476665253006731,2.911018228866747,-4.560184019595041
1,2024-01-10,6.334738915487678,-6.544180949529808,6.587760692770402,2.404671680163771,8.892889997148412,5.728670525648279,4.066434466701819,-4.870264725644418
1,2024-01-11,6.608991115308235,-6.970467369256643,7.357967302714261,2.6262320750454102,7.95497144227364,5.425518137036085,3.520659289090718,-3.9101584111028114
1,2024-01-12,6.349939305547566,-5.5195118401612415,5.970851802302212,1.8161543534280873,9.099447314584202,6.088220628303439,5.279545155937416,-5.6797822751006635
1,2024-01-13,6.244728309772619,-5.114151171397933,5.203115632580216,0.5521139976663096,9.213724697635165,5.206000934312288,5.433537974553389,-6.006768073660975
1,2024-01-14,6.60309432585069,-6.328012847863745,6.302256069394853,0.1854793000599989,8.254860644000045,4.586655614315651,3.819687552788413,-6.00621032980838
1,2024-01-15,6.890907959358404,-4.890791629749108,5.554886818789352,-0.3969210234482105,8.84480281129508,4.911387830083409,5.470941677312247,-7.067451570230459
1,2024-01-17,7.05356219290406,-7.369093689487763,6.672975304501067,0.33877218585982716,8.61167798065862,4.002328877687364,3.4493599098782304,-5.375709307138257
1,2024-01-18,6.967507413086878,-6.011692772251858,5.672478015251194,0.38102770815638964,8.874247695356758,4.729674933631938,5.005845960510616,-6.427667274154232
1,2024-01-19,6.711198768464151,-6.402886321144965,6.150026690560905,0.5494925651198656,8.85649883007785,4.146857760871837,4.144849415066458,-6.359899911872291
1,2024-01-20,6.72979909326808,-7.246407835379418,7.850678610705765,1.9184871265762837,8.355204319908113,4.093710827072762,2.7976589467543396,-4.727415812755807
1,2024-01-21,6.33521706462903,-5.330178997846802,5.719099928908632,1.2816299609821462,9.275665564936576,5.727061048273642,4.999042484152774,-6.219343228121079
